"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2017","1,535.51","1,549.06","1,551.94","1,535.51","","-0.87%"
"12/28/2017","1,548.93","1,544.05","1,549.04","1,542.52","","0.32%"
"12/27/2017","1,543.94","1,544.39","1,550.62","1,541.95","","-0.02%"
"12/26/2017","1,544.23","1,542.74","1,546.59","1,541.21","","0.08%"
"12/22/2017","1,542.93","1,547.24","1,548.25","1,541.70","","-0.27%"
"12/21/2017","1,547.11","1,540.46","1,551.21","1,540.46","","0.46%"
"12/20/2017","1,540.08","1,538.74","1,544.35","1,536.23","","0.22%"
"12/19/2017","1,536.75","1,549.32","1,552.21","1,535.91","","-0.79%"
"12/18/2017","1,548.92","1,530.81","1,552.32","1,530.81","","1.21%"
"12/15/2017","1,530.42","1,507.68","1,538.06","1,507.68","","1.56%"
"12/14/2017","1,506.95","1,524.54","1,527.00","1,504.89","","-1.15%"
"12/13/2017","1,524.45","1,516.19","1,532.38","1,516.08","","0.55%"
"12/12/2017","1,516.12","1,520.06","1,525.11","1,515.95","","-0.24%"
"12/11/2017","1,519.84","1,522.10","1,527.47","1,518.30","","-0.12%"
"12/08/2017","1,521.72","1,521.78","1,529.00","1,520.88","","0.08%"
"12/07/2017","1,520.47","1,508.93","1,524.00","1,508.15","","0.77%"
"12/06/2017","1,508.88","1,516.36","1,516.54","1,508.13","","-0.52%"
"12/05/2017","1,516.76","1,532.72","1,534.01","1,516.75","","-1.02%"
"12/04/2017","1,532.41","1,539.27","1,559.61","1,531.73","","-0.30%"
"12/01/2017","1,537.02","1,544.10","1,544.92","1,498.78","","-0.46%"
"11/30/2017","1,544.14","1,542.62","1,551.69","1,541.21","","0.12%"
"11/29/2017","1,542.30","1,536.82","1,547.27","1,536.82","","0.38%"
"11/28/2017","1,536.43","1,514.15","1,536.63","1,514.15","","1.53%"
"11/27/2017","1,513.31","1,519.17","1,522.03","1,513.19","","-0.39%"
"11/24/2017","1,519.16","1,517.41","1,521.38","1,516.52","","0.16%"
"11/22/2017","1,516.76","1,518.98","1,524.18","1,516.76","","-0.14%"
"11/21/2017","1,518.89","1,503.45","1,519.53","1,503.45","","1.03%"
"11/20/2017","1,503.40","1,492.93","1,503.40","1,492.93","","0.71%"
"11/17/2017","1,492.82","1,485.70","1,496.86","1,481.09","","0.40%"
"11/16/2017","1,486.88","1,464.97","1,490.97","1,464.97","","1.56%"
"11/15/2017","1,464.09","1,470.90","1,470.90","1,454.16","","-0.49%"
"11/14/2017","1,471.26","1,474.27","1,474.27","1,465.38","","-0.26%"
"11/13/2017","1,475.07","1,474.44","1,476.68","1,466.09","","-0.01%"
"11/10/2017","1,475.27","1,474.92","1,479.11","1,473.14","","0.02%"
"11/09/2017","1,475.02","1,481.29","1,481.62","1,463.49","","-0.45%"
"11/08/2017","1,481.73","1,477.95","1,482.86","1,469.34","","0.18%"
"11/07/2017","1,479.09","1,497.98","1,498.00","1,476.72","","-1.26%"
"11/06/2017","1,497.96","1,495.03","1,501.49","1,494.74","","0.20%"
"11/03/2017","1,494.91","1,496.32","1,497.14","1,490.66","","-0.11%"
"11/02/2017","1,496.55","1,492.90","1,499.94","1,487.73","","0.25%"
"11/01/2017","1,492.78","1,504.54","1,512.40","1,485.13","","-0.66%"
"10/31/2017","1,502.77","1,491.44","1,506.78","1,491.44","","0.80%"
"10/30/2017","1,490.90","1,507.48","1,507.48","1,484.82","","-1.15%"
"10/27/2017","1,508.32","1,497.54","1,508.32","1,493.49","","0.73%"
"10/26/2017","1,497.46","1,494.11","1,501.36","1,494.11","","0.27%"
