,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
19260920,  -0.13,  -0.01,  -0.79,  -0.82,  -2.15,  -0.28,  -0.76,  -0.28,  -0.71,  -0.55
19260921,   0.35,   0.07,   0.92,  -0.20,   0.85,  -0.11,   0.14,  -0.09,   0.29,   0.22
19260922,  -0.08,  -1.17,  -0.30,   0.92,  -0.49,   0.26,  -0.42,   0.04,   0.27,  -0.26
19260923,  -0.20,   0.34,   0.15,   0.42,   0.19,   0.42,   0.18,   1.48,   0.56,   0.38
19260924,   0.08,   0.93,   0.74,   0.40,   0.86,   0.15,   1.65,   0.49,   0.81,   0.61
19260925,   0.64,   0.50,   0.14,  -0.47,   0.90,   0.55,  -0.23,   0.01,   0.46,   0.22
19260927,  -0.29,   0.02,  -0.17,   0.04,  -0.52,   0.10,  -0.01,  -0.38,  -0.28,  -0.08
19260928,   0.00,   0.49,   0.26,  -0.64,  -0.16,  -0.12,  -0.36,  -0.26,   0.49,   0.03
19260929,  -0.26,  -0.87,   0.09,  -0.54,  -0.19,  -0.04,  -0.31,  -0.04,  -0.18,  -0.37
19260930,   0.33,   0.68,   0.59,   0.00,   0.64,  -0.27,   0.44,  -0.44,  -0.13,   0.29
19261001,   0.29,   2.58,   1.52,   0.06,   0.22,  -0.03,   1.05,   0.65,   0.29,   0.43
19261002,   0.00,   0.13,  -0.18,  -0.04,   0.06,   0.17,  -0.41,   0.12,  -0.22,  -0.17
19261004,  -0.90,  -2.03,  -1.77,  -0.91,  -1.87,  -0.22,  -1.27,  -0.63,  -1.51,  -1.55
19261005,  -0.75,  -0.88,  -1.32,  -0.85,  -1.01,  -0.24,  -0.66,  -1.10,  -1.02,  -1.69
19261006,  -0.59,  -0.71,  -0.54,  -0.45,  -0.47,  -0.14,  -0.62,  -1.19,  -0.62,  -0.58
19261007,  -0.65,  -2.20,  -0.47,  -0.47,  -0.90,  -0.23,  -0.04,  -0.89,  -1.66,  -0.61
19261008,   0.43,   0.20,   0.67,   0.73,   0.53,  -0.14,   1.47,   2.06,   0.97,   0.58
19261009,  -0.59,  -1.67,  -1.27,  -0.20,  -1.19,  -0.17,  -1.69,   0.16,  -0.79,  -1.06
19261011,  -0.53,  -2.12,  -0.82,  -0.42,  -0.74,  -0.09,  -0.12,  -0.89,  -0.76,  -0.43
19261013,   0.46,   1.34,   1.21,   0.35,   0.66,   0.39,  -0.52,   0.31,   0.52,   0.86
19261014,   1.46,   0.58,   1.05,   0.76,   1.05,   0.37,   0.84,   0.76,   0.60,   1.30
19261015,  -1.42,  -3.13,  -2.35,  -1.13,  -2.51,   0.04,  -1.95,  -0.48,  -1.53,  -1.92
19261016,  -0.59,  -2.10,  -0.97,  -0.36,  -0.11,  -0.03,  -1.41,  -0.47,  -0.26,  -0.60
19261018,   0.17,   1.36,   0.84,   0.34,   0.90,  -0.45,   1.19,  -0.37,   1.74,   0.79
19261019,  -0.69,  -2.53,  -1.42,  -0.65,  -1.20,   0.03,  -1.55,   0.14,  -0.96,  -0.77
19261020,  -0.33,   0.01,  -0.68,  -0.62,   0.98,   0.12,   1.36,  -0.73,  -0.27,  -0.42
19261021,   1.16,   2.19,   1.85,   1.07,   1.60,   0.44,   1.76,   0.75,   1.04,   1.96
19261022,   0.30,  -1.25,  -0.27,  -0.27,  -0.69,  -0.10,  -1.27,   0.12,  -0.27,  -0.38
19261023,   0.78,   1.07,   0.70,   0.73,  -0.07,  -0.01,   1.00,   0.87,   0.40,   0.26
19261025,  -0.18,  -0.51,  -0.42,   0.39,   0.39,  -0.05,  -0.49,   0.17,  -0.05,   0.04
19261026,   0.08,   0.28,   0.50,  -0.02,  -0.16,   0.10,   1.04,  -0.27,   0.36,   0.59
19261027,   1.14,   1.82,   1.31,   0.18,   0.82,   0.11,   1.49,   0.43,   0.78,   1.22
19261028,   0.12,  -0.37,  -0.34,   0.84,  -0.18,   0.00,  -0.69,   0.51,  -0.02,  -0.33
19261029,  -0.18,  -0.29,  -0.07,   0.36,  -0.26,  -0.04,  -0.17,  -0.05,   0.11,  -0.07
19261030,  -0.16,  -0.22,  -0.35,  -0.15,  -0.43,   0.05,  -0.51,  -0.50,  -0.10,  -0.23
19261101,   0.31,   0.13,   0.44,   1.59,   0.25,  -0.06,   0.16,  -0.12,   0.04,   0.38
19261103,   0.20,   1.61,   0.41,  -0.66,   0.41,   0.13,  -0.35,  -0.20,   0.11,   0.22
19261104,   0.22,   0.12,   0.78,   0.72,   0.49,   0.16,   1.29,   0.01,   0.30,   0.82
19261105,   0.06,  -0.56,   0.23,  -0.49,   0.72,   0.32,   0.08,   1.56,   0.60,   0.20
19261106,   0.40,  -0.73,   0.20,   0.19,  -0.27,   0.22,   0.75,   0.78,   0.44,   0.23
19261108,   0.20,  -0.32,   1.16,   0.36,   1.42,   0.45,   1.24,   0.31,  -0.06,   0.41
19261109,   0.64,   0.85,   0.30,  -0.16,  -0.72,   0.01,   0.19,  -0.18,   0.79,  -0.24
19261110,  -0.47,  -1.02,  -0.65,  -0.95,  -0.70,   0.01,  -0.61,   0.10,   0.03,  -0.54
19261111,   0.32,   0.53,   0.86,   0.89,   0.36,  -0.02,   2.00,   0.80,   1.17,   0.40
19261112,   0.46,   0.01,   0.85,   0.15,  -0.18,  -0.04,   0.09,  -0.07,  -0.09,   0.17
19261113,  -0.06,  -0.14,  -0.31,  -0.73,  -0.02,   0.10,  -0.35,  -0.15,  -0.18,  -0.07
19261115,   0.78,   0.77,   0.61,   0.54,  -0.68,   0.24,   0.32,  -0.03,   0.01,   0.18
19261116,   0.02,   0.18,   0.03,  -0.31,   2.18,  -0.46,   1.52,   0.90,   0.11,  -0.05
19261117,  -0.26,  -0.48,  -0.92,  -0.45,  -0.58,   0.00,   0.34,  -0.03,  -0.26,  -0.04
19261118,  -0.09,  -0.81,  -0.68,  -1.04,  -0.22,   0.07,  -0.69,   0.10,  -0.29,  -0.15
19261119,   0.47,  -1.67,  -0.74,  -0.90,  -0.62,  -0.34,  -0.48,  -0.56,  -0.47,  -0.67
19261120,   0.62,   0.08,   0.33,   0.35,   0.40,   0.27,   1.24,   2.12,   0.40,   0.33
19261122,   0.14,   0.51,   1.11,   1.05,   0.53,   0.18,   0.70,  -1.00,   0.83,   0.15
19261123,   0.99,   0.97,  -0.03,   0.23,   0.35,   0.14,   0.04,  -0.03,   0.43,   0.33
19261124,  -0.24,  -0.30,   0.48,  -0.07,   0.12,   0.28,  -0.53,   0.41,   0.28,   0.29
19261126,   0.63,   0.12,   0.52,  -0.62,   1.00,   0.05,   0.46,   0.24,   0.07,   0.14
19261127,  -0.27,   0.04,  -0.11,   0.05,  -0.45,  -0.16,  -0.14,   0.44,  -0.01,  -0.25
19261129,  -0.63,  -0.74,  -0.67,  -0.04,  -0.17,   0.09,  -0.80,   0.58,  -0.11,  -0.20
19261130,   0.68,   0.75,   0.00,   0.37,   1.03,   0.00,  -0.16,  -0.63,   0.21,   0.08
19261201,  -0.13,   0.33,   0.60,   1.01,   0.04,  -0.07,   0.63,   0.53,   0.05,   0.13
19261202,   0.26,   0.73,   0.71,   1.01,   0.03,   0.40,   0.45,  -0.22,  -0.21,   0.53
19261203,  -0.12,   2.24,   0.46,  -0.19,  -0.27,   0.23,   0.38,   0.19,   0.80,   0.13
19261204,  -0.11,  -0.12,  -0.12,  -0.35,   0.10,   0.06,  -0.21,  -0.40,  -0.41,  -0.18
19261206,   0.53,  -0.06,   0.07,   0.00,   0.20,   0.00,   0.37,   0.17,  -0.25,  -0.16
19261207,   0.02,   0.65,   0.01,  -0.47,  -0.57,  -0.12,   0.27,   0.32,  -0.23,   0.14
19261208,  -0.38,   0.25,  -0.11,  -0.26,  -0.27,  -0.08,  -0.58,   0.14,   0.49,   0.15
19261209,   0.17,   0.72,   0.46,   0.01,   0.73,   0.07,   0.25,  -0.22,   0.24,   0.94
19261210,   0.38,   0.43,   0.33,   0.19,  -0.12,  -0.01,   0.79,   0.05,   0.12,   0.72
19261211,  -0.01,   0.15,   0.25,   0.02,  -0.12,   0.07,   0.14,   0.04,   0.47,   0.04
19261213,   0.27,   2.25,   0.37,   0.47,   0.36,  -0.09,   0.50,   0.11,  -0.08,   0.20
19261214,  -0.14,   0.55,   0.49,   0.17,  -0.16,   0.16,  -0.08,   0.16,  -0.57,   0.08
19261215,  -0.04,  -0.53,   0.25,   0.73,   0.47,  -0.04,  -0.28,  -0.16,   0.22,   0.21
19261216,  -0.46,  -1.19,  -1.00,  -0.37,  -0.63,   0.10,  -0.94,  -0.56,  -0.51,  -0.49
19261217,   0.44,   1.19,   1.52,   0.56,   0.56,   1.46,  -0.14,  -0.25,   0.10,   1.40
19261218,   0.38,   1.19,   0.23,   0.23,   0.79,   0.42,   0.57,   0.92,   0.07,   0.42
19261220,  -0.34,  -1.21,  -0.42,  -0.03,   0.25,  -0.64,  -0.24,   0.62,  -0.40,  -0.03
19261221,   0.40,   0.28,  -0.15,   0.15,  -0.33,  -0.20,   0.01,  -0.82,  -0.20,  -0.10
19261222,  -0.14,   1.31,   0.03,  -0.08,   0.72,  -0.05,  -0.50,  -0.29,   0.38,  -0.49
19261223,  -0.22,   1.02,   0.27,   0.48,   0.40,   0.07,  -0.07,   0.01,  -0.02,   0.43
19261224,   0.35,   1.22,   0.53,   0.54,   0.13,  -0.12,   0.41,   0.72,  -0.04,  -0.17
19261227,  -0.01,  -0.14,  -0.24,   0.12,  -0.97,  -0.27,  -0.81,  -0.50,   0.17,  -0.28
19261228,  -0.87,  -1.73,  -1.44,  -0.94,  -0.99,   0.03,  -0.84,  -1.21,  -0.87,  -1.18
19261229,   0.16,   1.21,   0.52,   0.74,   0.32,   0.05,  -0.11,   0.63,   0.57,   0.31
19261230,   0.26,  -0.83,  -0.17,  -1.02,  -0.74,   0.13,  -0.44,  -0.49,  -0.65,   0.05
19261231,   0.16,  -0.33,   0.15,   0.15,   0.09,   0.42,   1.10,   0.64,   0.59,   0.64
19270103,  -0.32,  -1.36,  -0.97,  -0.61,  -1.23,  -0.02,  -2.13,   0.07,  -0.34,  -0.68
19270104,   0.11,   1.76,   0.27,   0.23,   0.32,   0.09,   0.24,   0.15,   0.62,  -0.06
19270105,   0.13,   0.54,   0.24,  -0.06,   0.63,   0.02,   0.09,   0.73,   0.05,   0.04
19270106,  -0.06,  -0.40,  -0.12,  -0.05,  -0.57,   0.11,  -0.03,   0.00,  -0.17,  -0.30
19270107,   0.18,   0.11,   0.48,  -0.11,   0.44,   0.73,   0.29,   1.32,   0.21,   0.48
19270108,   0.18,   0.67,   0.24,   0.19,   0.00,   2.18,  -0.23,   0.46,   0.27,   0.46
19270110,   0.22,  -0.10,   0.30,   0.27,   0.58,  -0.50,  -0.12,   0.47,  -0.02,   0.31
19270111,  -0.13,  -1.30,  -0.31,  -0.23,  -0.47,  -0.38,  -0.83,   0.27,  -0.31,   0.28
19270112,  -0.33,  -0.14,   0.14,   0.61,   0.14,  -0.17,  -0.06,  -0.02,   0.06,   0.02
19270113,  -0.16,  -0.97,  -0.31,   0.89,   0.27,  -0.14,   0.59,  -0.46,  -0.28,  -0.17
19270114,   0.16,  -0.53,  -0.22,   0.22,  -0.37,   0.18,  -0.16,   0.28,  -0.34,   0.51
19270115,   0.14,  -0.34,   0.07,   0.19,   0.15,  -0.09,   0.03,  -0.16,  -0.05,   0.56
19270117,  -0.05,  -1.48,  -0.54,   0.55,  -0.15,   0.02,  -0.41,   1.08,  -0.14,   0.56
19270118,  -0.38,   0.21,  -0.01,  -0.24,  -0.31,  -0.20,   0.49,   0.51,   0.22,  -0.03
19270119,   0.22,   1.58,   0.87,   0.79,   1.11,  -0.14,   0.55,   0.43,   0.75,   0.24
19270120,  -0.21,  -0.10,  -0.22,  -0.43,  -0.41,  -0.29,  -0.74,  -0.23,   0.35,   0.12
19270121,   0.13,   0.09,  -0.08,  -0.32,   0.02,   0.19,   0.91,  -0.21,  -0.51,   0.13
19270122,  -0.15,  -1.18,  -0.35,  -0.44,  -0.21,   0.17,  -0.97,  -0.39,   0.05,  -0.16
19270124,  -0.44,  -1.16,  -0.43,  -0.42,  -0.84,  -0.37,  -0.77,   0.01,  -0.89,  -0.13
19270125,  -0.82,  -0.12,  -0.98,  -1.23,  -0.80,   0.04,  -0.83,  -2.05,  -1.60,  -1.84
19270126,   0.04,   0.06,   0.49,   0.30,  -0.12,  -0.06,  -0.23,   0.65,  -0.02,   0.42
19270127,  -0.06,   0.26,  -0.38,  -0.35,  -0.63,   0.17,  -0.70,  -0.11,  -0.69,  -0.53
19270128,   0.48,   0.01,   0.32,  -0.03,   0.36,   0.01,   0.44,   1.32,   0.11,   0.02
19270129,   0.40,   1.63,   0.82,   0.67,   0.29,   0.26,   1.25,   0.60,   0.44,   0.82
19270131,   0.07,   1.47,   0.64,   0.92,   0.69,   0.09,   0.83,   0.27,   0.46,   0.48
19270201,  -0.06,  -0.14,  -0.17,   0.03,   0.49,   0.16,  -0.18,   0.00,  -0.10,   0.14
19270202,   0.15,   1.44,   0.72,   0.88,   0.40,   0.15,   0.35,   0.30,   0.73,   1.00
19270203,   0.18,   0.64,   0.31,  -0.26,   0.26,   0.28,   0.77,   0.17,  -0.20,   0.14
19270204,   0.15,  -0.67,   0.02,   1.87,  -0.10,   0.11,  -0.39,  -0.15,   0.36,   0.37
19270205,  -0.04,  -0.53,  -0.26,  -0.12,  -0.41,   0.09,  -0.45,  -0.17,   0.05,  -0.07
19270207,   0.00,   0.85,  -0.07,  -0.72,   0.02,   0.05,  -0.24,  -0.66,  -0.44,   0.12
19270208,   0.02,   0.16,  -0.15,   0.03,  -0.31,  -0.09,  -0.12,   0.38,   0.21,   0.60
19270209,   0.65,  -0.53,   0.09,   0.10,   1.13,  -0.19,   0.53,  -0.09,  -0.42,  -0.23
19270210,  -0.45,  -0.01,   0.47,  -0.23,   0.31,   0.48,   0.06,   0.48,   0.54,  -0.05
19270211,   0.12,   0.69,   0.53,   0.05,  -0.39,   0.01,   1.10,   0.43,   0.08,   0.46
19270214,   0.24,   1.74,   0.89,   0.25,   1.13,   0.05,   0.89,  -0.07,   0.18,   0.09
19270215,   0.04,  -0.22,  -0.17,   0.68,  -0.36,   0.09,   0.52,   0.37,  -0.58,   0.31
19270216,   0.19,  -1.09,  -0.12,  -0.33,  -0.21,   0.25,  -0.27,  -0.22,  -0.14,   0.72
19270217,   0.29,   0.15,   0.21,  -0.78,  -0.41,   0.44,  -0.16,  -0.30,  -0.08,   1.39
19270218,   0.20,   0.03,   0.30,  -0.33,   0.25,   2.00,  -0.02,  -0.03,   0.08,   0.55
19270219,  -0.13,   0.06,   0.17,  -0.31,   1.56,   0.23,   0.32,   0.02,   0.58,  -0.32
19270221,   0.49,   0.21,   0.02,  -0.04,  -0.39,  -0.27,  -0.18,  -0.08,   0.70,  -1.03
19270223,   0.88,   1.85,   1.29,   0.11,   0.69,   0.05,   1.18,   0.33,   0.60,   0.50
19270224,  -0.23,   0.25,   0.09,   0.47,  -0.33,   0.27,   0.01,   0.22,   0.68,   0.07
19270225,   0.17,   0.89,   0.27,  -0.01,   1.22,  -0.08,   0.02,   0.56,   1.30,  -0.24
19270226,   0.21,   0.42,   0.11,  -0.08,  -0.60,  -0.18,  -0.24,   0.19,   0.30,   0.23
19270228,   0.24,   2.49,   1.12,   0.24,   0.41,   0.01,   0.07,   0.02,   0.04,   0.22
19270301,   0.04,  -1.00,  -0.16,  -0.74,   0.37,  -0.05,  -0.78,  -0.50,  -0.47,  -0.43
19270302,  -0.74,  -1.60,  -1.44,  -0.87,  -1.71,  -0.40,  -1.23,  -0.55,  -0.94,  -1.25
19270303,   0.86,   2.32,   1.32,   1.21,   1.30,   0.34,   0.61,   0.51,   0.67,   0.79
19270304,   0.47,  -0.31,  -0.45,  -1.54,  -0.58,   0.03,  -0.51,   0.31,  -0.36,  -0.47
19270305,   0.37,  -0.66,  -0.36,  -0.20,  -0.20,  -0.07,   0.16,  -0.26,  -0.23,  -0.41
19270307,   0.23,  -0.37,  -0.39,  -0.56,  -0.44,  -0.09,  -0.42,   0.12,  -0.34,  -0.53
19270308,  -0.27,   1.11,   0.24,  -0.08,  -0.01,  -0.08,   0.71,  -0.02,   0.23,  -0.06
19270309,   0.24,   1.00,   0.77,   0.72,   0.32,  -0.01,   0.51,   0.38,  -0.67,   0.71
19270310,   0.61,   0.09,   0.47,   0.00,   0.41,   0.25,   1.07,   1.18,   0.91,   0.74
19270311,   0.10,  -0.60,  -0.10,   0.11,   0.39,  -0.03,  -0.22,   0.71,  -0.02,   1.01
19270312,  -0.02,   0.19,   0.12,  -0.65,   0.51,   0.08,   0.27,   0.61,   0.13,  -0.11
19270314,   0.30,   1.76,   0.42,  -1.03,   0.50,   0.04,   0.41,  -0.10,   0.51,  -0.03
19270315,  -0.48,  -0.86,  -0.78,  -1.62,  -0.59,   0.07,  -0.78,  -0.51,  -0.53,  -0.82
19270316,   0.31,   1.53,   0.98,   0.78,   0.75,   4.12,   0.54,   0.79,   0.60,   0.83
19270317,   0.57,  -0.26,   0.44,   0.69,   0.56,   0.71,   0.08,  -0.40,   0.42,   0.55
19270318,  -0.51,  -0.45,  -0.60,  -0.97,  -0.72,  -2.05,  -0.68,  -0.27,  -0.32,  -0.92
19270319,   0.13,   0.37,  -0.08,  -0.10,   0.01,   0.00,  -0.27,  -0.23,   0.35,   0.12
19270321,  -0.10,   0.01,   0.23,   0.18,   0.03,  -0.04,   0.76,  -0.29,  -0.34,   0.57
19270322,  -0.63,  -2.18,  -1.53,  -0.62,  -1.00,  -0.20,  -0.99,  -0.80,  -0.78,  -1.03
19270323,   0.03,  -0.53,   0.64,  -0.19,   0.14,   0.12,   0.03,  -0.17,   1.02,   0.29
19270324,   0.65,   1.21,   0.66,   0.28,   0.95,   1.37,   0.40,   0.28,   1.07,   0.62
19270325,   0.10,   0.01,   0.40,   0.60,  -0.15,   0.37,  -0.07,   0.28,   0.35,  -0.19
19270326,   0.48,   0.80,   0.21,   0.50,  -0.42,   1.51,  -0.18,   0.15,  -0.09,   0.22
19270328,   0.39,   1.27,   0.62,  -0.12,   1.50,   0.19,   0.42,  -0.26,  -0.20,   0.83
19270329,  -0.10,  -0.21,   0.41,  -0.71,  -0.65,  -0.52,  -0.44,   0.20,  -0.22,  -0.34
19270330,  -0.55,  -1.25,  -0.86,  -1.47,  -0.17,  -0.12,  -0.15,  -0.02,  -0.53,   0.08
19270331,   0.28,   0.39,   0.33,   0.27,   0.44,  -0.02,   0.37,  -0.11,   0.21,   0.44
19270401,  -0.27,  -0.38,   0.42,  -0.86,   1.41,  -0.08,   0.01,   0.13,   0.05,   0.07
19270402,  -0.01,  -0.46,  -0.14,  -0.54,   0.95,   0.00,  -0.32,  -0.40,   0.58,   0.10
19270404,   1.07,   0.62,   0.46,  -0.04,   0.79,   0.65,   0.24,   0.13,   0.03,   0.91
19270405,   0.03,   2.04,   0.83,   1.09,  -0.05,   0.19,   0.30,   0.00,   0.00,   0.36
19270406,   0.04,  -0.29,   0.15,   0.14,  -0.94,   0.74,   1.47,   0.11,   0.21,  -0.11
19270407,   0.12,  -0.53,  -0.12,   0.44,  -0.58,   1.50,   0.68,   0.34,   0.14,   0.49
19270408,   0.24,   1.09,   0.51,   0.00,   0.19,  -1.30,  -0.27,   0.39,   0.88,   0.54
19270409,  -0.01,   0.47,   0.31,  -0.55,   0.05,  -0.38,   0.07,   0.50,   0.29,  -0.03
19270411,   0.29,   0.28,  -0.02,   0.04,   0.89,  -0.21,   1.05,   0.07,   0.84,   0.06
19270412,   0.58,  -0.47,  -0.29,  -0.10,  -0.33,  -0.60,  -1.03,  -0.24,   0.10,  -0.67
19270413,   0.72,   0.24,   0.49,  -0.43,   2.11,  -0.07,  -0.13,  -0.14,   0.09,   0.00
19270414,   0.29,   0.22,   0.34,  -0.25,  -0.49,  -0.09,  -0.28,   1.05,   0.74,   0.06
19270416,   0.57,   0.59,   0.33,  -0.48,  -0.39,  -0.08,   0.37,   1.08,   0.37,   0.16
19270418,   0.18,  -0.05,   0.28,  -0.99,   0.06,  -0.23,   0.46,   0.26,  -0.46,   0.18
