"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","1,761.25","1,759.26","1,763.93","1,747.23","","-0.28%"
"12/29/2022","1,766.25","1,727.33","1,767.91","1,727.33","","2.57%"
"12/28/2022","1,722.02","1,749.93","1,753.93","1,722.02","","-1.57%"
"12/27/2022","1,749.52","1,761.38","1,761.65","1,745.44","","-0.65%"
"12/23/2022","1,760.93","1,753.20","1,761.24","1,743.74","","0.39%"
"12/22/2022","1,754.09","1,766.67","1,766.67","1,726.81","","-1.29%"
"12/21/2022","1,776.94","1,757.69","1,784.11","1,757.69","","1.65%"
"12/20/2022","1,748.02","1,735.47","1,755.08","1,733.21","","0.54%"
"12/19/2022","1,738.58","1,763.94","1,765.54","1,733.82","","-1.41%"
"12/16/2022","1,763.42","1,759.55","1,765.64","1,746.25","","-0.63%"
"12/15/2022","1,774.61","1,806.74","1,806.74","1,770.56","","-2.52%"
"12/14/2022","1,820.45","1,831.23","1,845.77","1,812.30","","-0.65%"
"12/13/2022","1,832.36","1,851.83","1,880.76","1,823.00","","0.76%"
"12/12/2022","1,818.61","1,798.79","1,820.50","1,793.11","","1.22%"
"12/09/2022","1,796.66","1,812.15","1,815.81","1,796.66","","-1.19%"
"12/08/2022","1,818.29","1,815.71","1,833.75","1,808.85","","0.63%"
"12/07/2022","1,806.90","1,809.17","1,822.70","1,805.66","","-0.31%"
"12/06/2022","1,812.58","1,839.54","1,839.54","1,802.95","","-1.50%"
"12/05/2022","1,840.22","1,886.01","1,886.01","1,834.42","","-2.78%"
"12/02/2022","1,892.84","1,863.94","1,898.45","1,856.48","","0.59%"
"12/01/2022","1,881.68","1,891.98","1,898.27","1,876.93","","-0.26%"
"11/30/2022","1,886.58","1,839.13","1,886.58","1,821.46","","2.72%"
"11/29/2022","1,836.55","1,832.52","1,846.07","1,832.52","","0.31%"
"11/28/2022","1,830.96","1,857.18","1,857.52","1,827.08","","-2.05%"
"11/25/2022","1,869.19","1,862.92","1,873.59","1,861.00","","0.30%"
"11/23/2022","1,863.52","1,857.59","1,868.92","1,851.68","","0.17%"
"11/22/2022","1,860.44","1,843.87","1,861.08","1,840.04","","1.30%"
"11/21/2022","1,836.51","1,842.96","1,842.96","1,828.99","","-0.71%"
"11/18/2022","1,849.73","1,861.73","1,869.34","1,840.88","","0.58%"
"11/17/2022","1,839.12","1,837.27","1,839.84","1,820.71","","-0.76%"
"11/16/2022","1,853.17","1,879.74","1,879.74","1,850.72","","-1.91%"
"11/15/2022","1,889.20","1,885.97","1,905.84","1,878.08","","1.50%"
"11/14/2022","1,861.25","1,875.65","1,889.41","1,861.25","","-1.14%"
"11/11/2022","1,882.74","1,872.92","1,899.96","1,872.92","","0.79%"
"11/10/2022","1,867.93","1,811.28","1,868.28","1,811.28","","6.11%"
"11/09/2022","1,760.40","1,796.36","1,796.85","1,757.45","","-2.68%"
"11/08/2022","1,808.93","1,815.52","1,831.20","1,790.88","","-0.05%"
"11/07/2022","1,809.81","1,808.08","1,814.76","1,793.99","","0.55%"
"11/04/2022","1,799.87","1,800.81","1,809.64","1,771.11","","1.13%"
"11/03/2022","1,779.73","1,768.46","1,791.81","1,758.05","","-0.53%"
"11/02/2022","1,789.14","1,845.08","1,861.57","1,789.13","","-3.36%"
"11/01/2022","1,851.39","1,864.95","1,868.75","1,845.93","","0.25%"
"10/31/2022","1,846.86","1,839.17","1,854.57","1,833.59","","0.00%"
"10/28/2022","1,846.92","1,811.62","1,848.25","1,804.82","","2.25%"
"10/27/2022","1,806.32","1,815.52","1,832.09","1,804.70","","0.11%"
"10/26/2022","1,804.33","1,801.99","1,836.06","1,801.29","","0.46%"
"10/25/2022","1,796.16","1,749.61","1,801.20","1,749.61","","2.73%"
"10/24/2022","1,748.40","1,747.68","1,751.44","1,727.20","","0.35%"
"10/21/2022","1,742.24","1,709.61","1,744.90","1,700.63","","2.22%"
"10/20/2022","1,704.39","1,726.55","1,746.29","1,699.98","","-1.24%"
"10/19/2022","1,725.76","1,746.97","1,746.97","1,710.21","","-1.72%"
"10/18/2022","1,755.96","1,756.36","1,782.07","1,744.00","","1.16%"
"10/17/2022","1,735.75","1,701.16","1,738.70","1,701.16","","3.17%"
"10/14/2022","1,682.40","1,741.32","1,747.84","1,681.50","","-2.66%"
"10/13/2022","1,728.41","1,653.95","1,734.27","1,641.94","","2.41%"
"10/12/2022","1,687.76","1,692.96","1,696.79","1,671.88","","-0.30%"
"10/11/2022","1,692.92","1,687.60","1,713.74","1,664.91","","0.06%"
"10/10/2022","1,691.92","1,706.16","1,706.83","1,681.98","","-0.60%"
"10/07/2022","1,702.15","1,734.65","1,734.92","1,694.96","","0.00%"
"10/06/2022","1,702.15","1,756.42","1,772.25","1,747.03","","-3.43%"
"10/05/2022","1,762.69","1,748.79","1,767.82","1,732.09","","-0.74%"
"10/04/2022","1,775.77","1,735.82","1,775.77","1,735.82","","3.91%"
"10/03/2022","1,708.87","1,687.28","1,717.29","1,671.62","","2.65%"
"09/30/2022","1,664.72","1,672.89","1,707.75","1,664.27","","-0.61%"
"09/29/2022","1,674.93","1,710.82","1,710.82","1,656.41","","-2.35%"
"09/28/2022","1,715.24","1,668.79","1,725.28","1,668.79","","3.17%"
"09/27/2022","1,662.51","1,669.17","1,689.53","1,650.71","","0.40%"
"09/26/2022","1,655.88","1,674.34","1,701.23","1,653.43","","-1.41%"
"09/23/2022","1,679.59","1,707.61","1,707.61","1,658.66","","-2.48%"
"09/22/2022","1,722.31","1,760.15","1,760.31","1,716.21","","-2.26%"
"09/21/2022","1,762.16","1,796.20","1,813.66","1,761.97","","-1.42%"
"09/20/2022","1,787.50","1,801.49","1,801.49","1,776.31","","-1.40%"
"09/19/2022","1,812.84","1,785.72","1,813.94","1,777.27","","0.81%"
"09/16/2022","1,798.19","1,813.86","1,813.86","1,778.77","","-1.48%"
"09/15/2022","1,825.23","1,830.97","1,853.03","1,818.41","","-0.72%"
"09/14/2022","1,838.46","1,832.69","1,840.59","1,817.52","","0.38%"
"09/13/2022","1,831.57","1,879.54","1,879.54","1,825.42","","-3.91%"
"09/12/2022","1,906.09","1,889.80","1,906.09","1,889.80","","1.23%"
"09/09/2022","1,882.85","1,857.14","1,884.90","1,857.14","","1.95%"
"09/08/2022","1,846.91","1,823.49","1,846.91","1,810.51","","0.81%"
"09/07/2022","1,832.00","1,789.56","1,832.57","1,787.43","","2.21%"
"09/06/2022","1,792.32","1,813.18","1,815.15","1,786.68","","-0.96%"
"09/02/2022","1,809.75","1,844.17","1,846.98","1,802.14","","-0.72%"
"09/01/2022","1,822.82","1,826.75","1,826.75","1,799.17","","-1.15%"
"08/31/2022","1,844.12","1,859.18","1,865.28","1,843.08","","-0.62%"
"08/30/2022","1,855.59","1,889.16","1,889.35","1,847.54","","-1.45%"
"08/29/2022","1,882.94","1,880.63","1,898.67","1,879.13","","-0.89%"
"08/26/2022","1,899.83","1,965.23","1,965.31","1,898.51","","-3.30%"
"08/25/2022","1,964.64","1,944.38","1,964.64","1,943.20","","1.52%"
"08/24/2022","1,935.29","1,918.65","1,941.15","1,916.58","","0.84%"
"08/23/2022","1,919.14","1,920.13","1,937.97","1,917.32","","0.18%"
"08/22/2022","1,915.74","1,931.71","1,933.69","1,911.69","","-2.13%"
"08/19/2022","1,957.35","1,992.30","1,992.30","1,952.50","","-2.17%"
"08/18/2022","2,000.73","1,987.82","2,003.01","1,982.59","","0.68%"
"08/17/2022","1,987.31","2,008.88","2,008.88","1,976.14","","-1.64%"
"08/16/2022","2,020.53","2,018.74","2,030.05","2,003.78","","-0.04%"
"08/15/2022","2,021.35","2,007.41","2,022.03","1,994.68","","0.23%"
"08/12/2022","2,016.62","1,978.79","2,016.62","1,978.67","","2.09%"
"08/11/2022","1,975.26","1,981.93","2,005.21","1,972.63","","0.31%"
"08/10/2022","1,969.25","1,935.77","1,970.95","1,935.77","","2.95%"
"08/09/2022","1,912.89","1,937.25","1,937.25","1,904.97","","-1.46%"
"08/08/2022","1,941.21","1,928.41","1,959.13","1,928.41","","1.01%"
"08/05/2022","1,921.82","1,887.54","1,922.55","1,884.18","","0.81%"
"08/04/2022","1,906.46","1,908.52","1,911.57","1,899.46","","-0.13%"
"08/03/2022","1,908.93","1,895.38","1,912.77","1,891.05","","1.41%"
"08/02/2022","1,882.45","1,875.50","1,900.73","1,875.05","","-0.05%"
"08/01/2022","1,883.31","1,870.49","1,892.97","1,859.88","","-0.10%"
"07/29/2022","1,885.23","1,874.17","1,888.22","1,865.76","","0.65%"
"07/28/2022","1,873.03","1,854.18","1,873.74","1,832.77","","1.34%"
"07/27/2022","1,848.34","1,814.28","1,852.86","1,814.14","","2.39%"
"07/26/2022","1,805.25","1,812.50","1,812.50","1,800.29","","-0.69%"
"07/25/2022","1,817.77","1,810.95","1,819.10","1,798.82","","0.60%"
"07/22/2022","1,806.88","1,839.36","1,842.20","1,795.29","","-1.62%"
"07/21/2022","1,836.69","1,819.77","1,836.69","1,804.98","","0.48%"
"07/20/2022","1,827.95","1,797.94","1,829.91","1,797.94","","1.59%"
"07/19/2022","1,799.32","1,754.73","1,800.01","1,754.73","","3.50%"
"07/18/2022","1,738.42","1,758.90","1,772.80","1,734.22","","-0.34%"
"07/15/2022","1,744.37","1,724.10","1,744.37","1,708.90","","2.16%"
"07/14/2022","1,707.51","1,712.29","1,712.29","1,684.85","","-1.07%"
"07/13/2022","1,726.04","1,715.47","1,732.60","1,700.94","","-0.12%"
"07/12/2022","1,728.18","1,728.52","1,743.17","1,719.24","","-0.22%"
"07/11/2022","1,732.01","1,765.60","1,765.60","1,729.65","","-2.11%"
"07/08/2022","1,769.36","1,767.58","1,780.13","1,752.94","","-0.01%"
"07/07/2022","1,769.60","1,736.01","1,772.30","1,736.01","","2.43%"
"07/06/2022","1,727.55","1,738.69","1,747.93","1,712.16","","-0.79%"
"07/05/2022","1,741.33","1,714.86","1,741.34","1,681.58","","0.79%"
"07/01/2022","1,727.76","1,705.07","1,728.91","1,690.91","","1.16%"
"06/30/2022","1,707.99","1,706.48","1,722.09","1,680.40","","-0.66%"
"06/29/2022","1,719.37","1,737.83","1,737.83","1,703.80","","-1.12%"
"06/28/2022","1,738.84","1,778.62","1,792.58","1,738.81","","-1.86%"
"06/27/2022","1,771.74","1,772.89","1,781.46","1,758.31","","0.34%"
"06/24/2022","1,765.74","1,720.04","1,765.74","1,720.04","","3.16%"
"06/23/2022","1,711.67","1,693.27","1,714.04","1,680.55","","1.27%"
"06/22/2022","1,690.28","1,678.51","1,703.38","1,665.54","","-0.22%"
"06/21/2022","1,694.03","1,681.10","1,711.74","1,681.10","","1.70%"
"06/17/2022","1,665.69","1,657.01","1,684.55","1,652.02","","0.96%"
"06/16/2022","1,649.84","1,707.85","1,707.85","1,641.47","","-4.70%"
"06/15/2022","1,731.14","1,718.15","1,751.50","1,704.42","","1.36%"
"06/14/2022","1,707.83","1,717.33","1,723.19","1,692.32","","-0.39%"
"06/13/2022","1,714.59","1,770.50","1,770.50","1,708.26","","-4.76%"
"06/10/2022","1,800.28","1,833.15","1,833.15","1,792.60","","-2.73%"
"06/09/2022","1,850.86","1,884.96","1,884.96","1,850.67","","-2.12%"
"06/08/2022","1,891.01","1,913.97","1,916.08","1,883.26","","-1.49%"
"06/07/2022","1,919.56","1,879.77","1,919.73","1,870.94","","1.57%"
