"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/1998","3,959.66","3,960.04","3,960.04","3,916.27","12.23M","-0.03%"
"12/30/1998","3,960.78","3,916.43","3,967.33","3,912.85","20.05M","1.12%"
"12/29/1998","3,916.80","3,942.47","3,942.47","3,899.41","20.48M","-0.66%"
"12/28/1998","3,942.67","4,003.52","4,003.52","3,939.99","14.94M","-1.47%"
"12/24/1998","4,001.35","3,932.92","4,001.35","3,932.92","8.89M","1.81%"
"12/23/1998","3,930.29","3,900.26","3,953.26","3,900.26","29.92M","0.80%"
"12/22/1998","3,899.11","3,905.24","3,906.57","3,873.65","22.97M","-0.27%"
"12/21/1998","3,909.57","3,841.28","3,909.57","3,841.28","30.46M","1.78%"
"12/18/1998","3,841.24","3,792.13","3,843.14","3,783.31","41.64M","1.33%"
"12/17/1998","3,790.85","3,741.81","3,797.92","3,736.11","47.70M","1.33%"
"12/16/1998","3,741.25","3,753.62","3,767.82","3,713.12","45.14M","-0.31%"
"12/15/1998","3,753.04","3,813.23","3,822.79","3,735.81","65.80M","-1.97%"
"12/14/1998","3,828.32","3,885.52","3,915.16","3,774.41","135.55M","-1.37%"
"12/11/1998","3,881.44","3,800.12","3,881.44","3,775.83","86.55M","2.17%"
"12/10/1998","3,798.87","3,805.89","3,816.23","3,780.51","47.90M","-0.17%"
"12/09/1998","3,805.52","3,779.32","3,805.52","3,727.45","54.17M","0.69%"
"12/08/1998","3,779.53","3,807.13","3,860.30","3,778.98","82.28M","-0.72%"
"12/07/1998","3,806.96","3,759.46","3,810.99","3,729.63","56.70M","1.25%"
"12/04/1998","3,759.83","3,702.49","3,759.83","3,702.28","72.99M","1.61%"
"12/03/1998","3,700.19","3,813.11","3,813.11","3,686.22","83.23M","-3.02%"
"12/02/1998","3,815.39","3,750.63","3,826.69","3,725.14","108.81M","1.76%"
"12/01/1998","3,749.38","3,769.36","3,805.69","3,685.52","80.76M","-0.54%"
"11/30/1998","3,769.88","3,992.48","3,993.48","3,762.69","66.88M","-5.57%"
"11/27/1998","3,992.30","4,026.13","4,031.48","3,987.03","24.06M","-0.83%"
"11/26/1998","4,025.66","4,007.73","4,025.95","4,001.90","11.47M","0.44%"
"11/25/1998","4,007.92","4,016.51","4,016.51","3,977.84","70.85M","-0.60%"
"11/24/1998","4,032.18","4,131.03","4,131.03","4,023.81","67.33M","-2.40%"
"11/23/1998","4,131.45","3,995.74","4,131.48","3,995.74","93.52M","3.40%"
"11/19/1998","3,995.62","4,059.45","4,105.05","3,993.16","67.35M","-1.57%"
"11/18/1998","4,059.24","3,956.45","4,064.68","3,952.79","40.39M","2.66%"
"11/17/1998","3,954.20","3,971.75","4,015.23","3,938.28","60.60M","-0.44%"
"11/16/1998","3,971.50","4,008.67","4,030.39","3,961.68","29.59M","-0.90%"
"11/13/1998","4,007.62","4,031.21","4,052.72","3,999.55","71.13M","-0.52%"
"11/12/1998","4,028.70","4,117.48","4,129.58","4,017.19","80.93M","-2.16%"
"11/11/1998","4,117.69","4,143.96","4,188.69","4,105.08","65.51M","-0.61%"
"11/10/1998","4,142.77","4,200.20","4,200.20","4,133.90","50.83M","-1.39%"
"11/09/1998","4,201.24","4,285.48","4,285.48","4,176.75","53.93M","-2.00%"
"11/06/1998","4,286.94","4,261.23","4,288.29","4,244.17","113.30M","0.61%"
"11/05/1998","4,260.98","4,266.81","4,299.44","4,216.21","94.85M","-0.16%"
"11/04/1998","4,267.73","4,128.01","4,293.00","4,128.01","126.40M","3.39%"
"11/03/1998","4,127.85","4,076.30","4,161.23","4,076.30","90.21M","1.30%"
"10/30/1998","4,074.86","3,910.06","4,076.64","3,910.06","135.93M","4.28%"
"10/29/1998","3,907.73","3,842.69","3,907.73","3,788.96","61.23M","1.67%"
"10/28/1998","3,843.68","3,917.23","3,951.26","3,843.68","66.08M","-1.88%"
"10/27/1998","3,917.46","3,994.82","4,037.17","3,904.25","79.08M","-1.93%"
"10/26/1998","3,994.51","3,993.75","4,026.31","3,975.87","44.69M","0.03%"
"10/23/1998","3,993.23","4,025.41","4,097.96","3,972.70","107.13M","-0.81%"
"10/22/1998","4,025.99","3,850.56","4,044.40","3,819.50","108.36M","4.56%"
"10/21/1998","3,850.45","3,795.12","3,850.97","3,737.15","63.83M","0.78%"
"10/20/1998","3,820.49","3,815.24","3,886.17","3,812.66","66.02M","0.20%"
"10/19/1998","3,812.96","3,829.17","3,888.68","3,808.96","41.57M","-0.48%"
"10/16/1998","3,831.33","3,831.59","3,902.47","3,791.41","102.86M","0.01%"
"10/15/1998","3,831.02","3,594.96","3,838.16","3,574.19","67.42M","6.55%"
"10/14/1998","3,595.42","3,577.03","3,635.18","3,551.36","57.88M","0.51%"
"10/13/1998","3,577.24","3,560.40","3,582.60","3,536.21","44.71M","0.47%"
"10/12/1998","3,560.61","3,444.52","3,578.74","3,444.52","61.79M","3.38%"
"10/09/1998","3,444.06","3,387.76","3,452.30","3,354.09","56.79M","1.67%"
"10/08/1998","3,387.46","3,375.05","3,388.50","3,270.76","63.69M","0.36%"
"10/07/1998","3,375.44","3,435.86","3,456.06","3,345.79","61.85M","-1.73%"
"10/06/1998","3,434.82","3,428.29","3,533.84","3,415.28","57.86M","0.20%"
"10/05/1998","3,427.98","3,524.32","3,524.32","3,362.96","40.18M","-2.85%"
"10/02/1998","3,528.65","3,390.47","3,536.98","3,361.19","75.81M","4.08%"
"10/01/1998","3,390.23","3,568.72","3,568.72","3,372.61","64.35M","-5.03%"
"09/30/1998","3,569.88","3,678.73","3,678.73","3,487.83","73.09M","-2.99%"
"09/29/1998","3,679.91","3,734.58","3,736.75","3,628.87","65.36M","-1.00%"
"09/28/1998","3,717.18","3,705.77","3,844.07","3,705.77","84.67M","0.36%"
"09/25/1998","3,703.69","3,688.92","3,710.44","3,541.08","70.29M","0.36%"
"09/24/1998","3,690.48","3,901.36","3,989.86","3,666.76","131.51M","-5.43%"
"09/23/1998","3,902.19","3,579.43","3,902.19","3,579.43","157.85M","9.08%"
"09/22/1998","3,577.36","3,494.78","3,643.59","3,494.78","115.35M","2.37%"
"09/21/1998","3,494.40","3,406.37","3,506.02","3,369.46","68.57M","0.53%"
"09/18/1998","3,475.90","3,395.58","3,497.05","3,377.80","79.83M","2.37%"
"09/17/1998","3,395.48","3,413.07","3,417.24","3,219.49","94.67M","-0.56%"
"09/15/1998","3,414.68","3,022.96","3,417.94","3,008.43","137.43M","12.92%"
"09/14/1998","3,023.90","2,919.02","3,037.22","2,919.02","80.23M","3.64%"
"09/11/1998","2,917.78","2,859.29","2,943.50","2,859.29","140.83M","2.16%"
"09/10/1998","2,856.10","3,166.64","3,166.64","2,844.72","130.82M","-9.82%"
"09/09/1998","3,167.26","3,234.35","3,234.35","3,157.71","57.25M","-2.16%"
"09/08/1998","3,237.24","3,194.95","3,263.07","3,140.66","77.14M","1.34%"
"09/07/1998","3,194.54","3,049.75","3,225.05","3,049.75","29.99M","4.91%"
"09/04/1998","3,045.17","3,102.93","3,121.51","2,968.82","64.17M","-1.84%"
"09/03/1998","3,102.39","3,172.18","3,174.01","3,088.53","57.52M","-2.40%"
"09/02/1998","3,178.56","2,993.93","3,266.85","2,993.93","107.86M","6.24%"
"08/31/1998","2,991.93","3,147.17","3,152.60","2,987.73","60.27M","-5.14%"
"08/28/1998","3,154.14","3,054.99","3,155.81","2,964.65","105.24M","3.22%"
"08/27/1998","3,055.71","3,250.47","3,250.47","3,010.63","95.31M","-6.11%"
"08/26/1998","3,254.44","3,368.17","3,368.17","3,213.13","131.89M","-3.39%"
"08/25/1998","3,368.79","3,413.55","3,471.25","3,327.15","75.11M","-1.30%"
"08/24/1998","3,413.01","3,410.54","3,420.36","3,333.06","30.46M","0.00%"
"08/21/1998","3,413.15","3,495.55","3,495.55","3,225.23","90.93M","-2.45%"
"08/20/1998","3,498.81","3,603.95","3,603.95","3,482.50","69.00M","-2.93%"
"08/19/1998","3,604.36","3,650.28","3,716.63","3,596.48","90.72M","-1.22%"
"08/18/1998","3,648.84","3,533.86","3,655.88","3,518.49","55.68M","3.27%"
"08/17/1998","3,533.14","3,575.45","3,575.45","3,523.74","27.38M","-1.41%"
"08/14/1998","3,583.72","3,581.81","3,672.10","3,573.72","46.92M","0.09%"
"08/13/1998","3,580.55","3,560.68","3,631.36","3,548.67","55.37M","0.53%"
"08/12/1998","3,561.50","3,629.17","3,703.83","3,518.49","54.94M","-1.85%"
"08/11/1998","3,628.45","3,729.90","3,729.90","3,508.87","64.65M","-2.76%"
"08/10/1998","3,731.49","3,829.77","3,844.93","3,730.46","29.64M","-2.95%"
"08/07/1998","3,844.93","3,981.63","4,012.95","3,831.88","55.34M","-3.44%"
"08/06/1998","3,981.73","4,047.04","4,047.04","3,977.02","32.15M","-1.81%"
"08/05/1998","4,055.32","4,072.67","4,099.39","4,007.28","36.12M","-0.41%"
"08/04/1998","4,071.95","4,176.14","4,187.35","4,063.84","46.02M","-2.45%"
"08/03/1998","4,174.34","4,244.19","4,244.19","4,165.21","27.40M","-1.66%"
"07/31/1998","4,244.96","4,351.16","4,354.42","4,242.41","66.59M","-2.45%"
"07/30/1998","4,351.37","4,335.99","4,380.05","4,335.99","40.09M","0.25%"
"07/29/1998","4,340.34","4,344.15","4,412.37","4,301.41","62.00M","-0.08%"
"07/28/1998","4,343.98","4,474.71","4,474.71","4,298.70","39.48M","-2.89%"
