"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2017","49,354.42","48,880.39","49,388.98","48,874.16","88.57M","1.01%"
"12/28/2017","48,861.94","48,659.43","48,999.50","48,640.11","67.28M","0.43%"
"12/27/2017","48,652.56","48,470.87","48,810.87","48,425.71","68.56M","0.42%"
"12/26/2017","48,451.33","48,473.31","48,801.28","48,198.17","69.96M","0.13%"
"12/22/2017","48,387.93","48,429.97","48,590.57","48,232.84","103.49M","-0.24%"
"12/21/2017","48,503.31","48,418.09","48,767.24","48,402.32","132.49M","0.23%"
"12/20/2017","48,390.39","48,449.24","48,536.73","48,191.28","186.69M","-0.03%"
"12/19/2017","48,403.03","48,636.52","48,792.24","48,368.90","234.46M","-0.48%"
"12/18/2017","48,634.54","48,082.82","48,733.58","48,071.02","259.22M","1.15%"
"12/15/2017","48,081.55","48,244.50","48,360.42","47,930.81","480.35M","-0.29%"
"12/14/2017","48,222.38","48,297.30","48,537.02","48,091.40","300.40M","-0.11%"
"12/13/2017","48,276.72","47,831.58","48,316.97","47,826.15","334.48M","1.21%"
"12/11/2017","47,699.04","47,407.73","47,843.55","47,407.73","140.91M","0.27%"
"12/08/2017","47,572.86","47,012.03","47,632.96","47,012.03","179.40M","1.25%"
"12/07/2017","46,987.01","47,016.28","47,276.87","46,949.80","200.49M","0.03%"
"12/06/2017","46,973.30","47,465.41","47,465.41","46,933.29","196.36M","-1.03%"
"12/05/2017","47,462.79","47,228.10","47,525.64","47,014.11","132.56M","0.64%"
"12/04/2017","47,161.32","47,289.47","47,514.91","46,993.75","148.58M","-0.22%"
"12/01/2017","47,265.31","47,098.36","47,401.51","46,936.60","187.07M","0.37%"
"11/30/2017","47,092.44","47,618.33","47,639.88","47,003.07","372.68M","-1.11%"
"11/29/2017","47,622.93","47,298.31","47,681.89","46,960.89","215.14M","0.83%"
"11/28/2017","47,229.16","47,312.31","47,494.20","47,108.77","197.56M","-0.10%"
"11/27/2017","47,275.32","47,874.70","47,887.12","47,221.47","171.28M","-1.39%"
"11/24/2017","47,941.88","48,199.82","48,210.96","47,662.34","65.53M","-0.40%"
"11/23/2017","48,136.24","48,208.92","48,246.94","48,036.39","23.85M","-0.13%"
"11/22/2017","48,196.89","48,263.13","48,453.19","47,933.19","179.68M","0.02%"
"11/21/2017","48,185.71","47,831.62","48,258.83","47,750.73","195.43M","0.69%"
"11/17/2017","47,857.14","47,780.36","48,107.72","47,597.77","150.28M","0.23%"
"11/16/2017","47,747.69","47,736.59","48,025.86","47,711.52","145.08M","0.12%"
"11/15/2017","47,690.80","47,853.83","47,958.12","47,471.13","172.36M","-0.38%"
"11/14/2017","47,873.65","47,999.61","48,044.60","47,659.14","162.42M","-0.27%"
"11/13/2017","48,002.43","48,013.10","48,103.08","47,662.38","243.74M","-0.05%"
"11/10/2017","48,028.30","48,659.33","48,717.36","47,972.79","208.18M","-1.41%"
"11/09/2017","48,713.51","48,731.88","48,927.45","48,633.77","183.59M","-0.25%"
"11/08/2017","48,835.69","49,001.94","49,058.84","48,806.56","122.87M","-0.34%"
"11/07/2017","49,004.52","48,946.13","49,276.47","48,879.49","208.90M","0.08%"
"11/06/2017","48,967.01","48,623.41","49,061.43","48,281.12","225.24M","0.89%"
"11/03/2017","48,534.84","48,334.87","48,584.22","47,824.97","229.67M","0.41%"
"11/01/2017","48,334.45","48,700.16","48,829.83","48,261.08","199.05M","-0.60%"
"10/31/2017","48,625.53","48,929.26","48,958.84","48,579.68","169.39M","-0.47%"
"10/30/2017","48,855.27","49,250.79","49,252.55","48,779.04","123.61M","-0.72%"
"10/27/2017","49,209.58","49,011.64","49,327.32","48,829.74","214.60M","0.45%"
"10/26/2017","48,986.84","49,004.30","49,388.76","48,954.30","236.54M","0.23%"
"10/25/2017","48,876.46","50,166.47","50,166.47","48,804.03","287.23M","-2.55%"
"10/24/2017","50,157.22","49,612.85","50,194.74","49,612.85","191.97M","1.23%"
"10/23/2017","49,548.13","50,033.55","50,109.71","49,509.56","149.24M","-0.88%"
"10/20/2017","49,988.71","50,207.87","50,582.62","49,896.63","240.92M","-0.02%"
"10/19/2017","50,000.25","49,914.15","50,057.01","49,760.76","162.69M","0.12%"
"10/18/2017","49,938.98","50,112.50","50,135.82","49,887.18","200.52M","-0.40%"
"10/17/2017","50,140.52","49,760.79","50,208.42","49,544.89","311.21M","0.84%"
"10/16/2017","49,721.01","50,029.82","50,230.04","49,673.22","204.50M","-0.52%"
"10/13/2017","49,981.94","50,040.40","50,224.98","49,914.96","218.95M","0.04%"
"10/12/2017","49,962.79","50,148.62","50,306.08","49,858.26","223.71M","-0.35%"
"10/11/2017","50,139.68","50,011.50","50,257.65","49,904.88","214.34M","0.31%"
"10/10/2017","49,982.94","50,141.12","50,230.44","49,888.40","180.84M","-0.18%"
"10/09/2017","50,071.94","50,584.27","50,584.27","49,980.51","136.88M","-0.46%"
"10/06/2017","50,302.96","50,513.17","50,616.65","50,257.55","133.53M","-0.35%"
"10/05/2017","50,480.92","50,631.36","50,909.48","50,425.09","148.57M","-0.17%"
"10/04/2017","50,565.29","50,653.53","50,750.30","50,511.04","118.43M","-0.10%"
"10/03/2017","50,615.29","50,593.54","50,741.49","50,453.76","126.89M","0.23%"
"10/02/2017","50,501.16","50,499.17","50,629.16","50,350.87","127.55M","0.31%"
"09/29/2017","50,346.06","50,064.82","50,605.60","50,064.82","154.23M","0.42%"
